city,size_rank,date,rent,value,newconstruciton_count,newconstruciton_pricepersqft,rent_affordability,home_owner_affordability,years_for_downpayment,new_renter_income_needed,affordable_home_price,median_sale_price,unemployment,cpi,empl_services,empl_total_nonfarm,empl_mining,empl_wholesale,empl_localgov,empl_horeca,empl_professional_and_business_services,empl_transport_and_utilities,empl_information,empl_finance,empl_manufacuring,salary_hourly,electricity_price,population,fedfunds_rate
us,0.0,2015-01-31,1239.084338048382,183217.75622923268,,,0.2608741492082157,0.2214001270203277,6.705473915585969,47747.42739000503,279435.7457478464,176023.0,5.7,234.747,99103.0,140562.0,887.0,5769.3,14150.0,14915.0,19493.0,26556.0,2740.0,8059.0,12292.0,24.75,0.138,320997.0,0.11
us,0.0,2015-02-28,1245.4491358959003,184006.42621914705,,,0.2612579571500232,0.2223668393000896,6.713469388996789,47966.48727342452,279203.3686202402,175467.0,5.5,235.342,99316.0,140831.0,875.0,5781.1,14160.0,14972.0,19537.0,26601.0,2741.0,8070.0,12301.0,24.79,0.138,321164.0,0.11
us,0.0,2015-03-31,1253.94992844018,184810.9783035403,,,0.2618472118610644,0.2238237190440836,6.7249127753869855,48202.03666096788,278280.033382208,177031.0,5.4,235.976,99450.0,140925.0,859.0,5782.9,14155.0,14981.0,19565.0,26647.0,2737.0,8081.0,12312.0,24.86,0.136,321344.0,0.11
us,0.0,2015-04-30,1263.8983649509828,185695.1484274589,,,0.2622054245083037,0.2224631018466939,6.738901373560425,48396.33057309459,281714.5796012553,182531.0,5.4,236.222,99644.0,141202.0,843.0,5779.2,14172.0,15023.0,19609.0,26664.0,2742.0,8086.0,12318.0,24.89,0.137,321538.0,0.12
us,0.0,2015-05-31,1273.2233329881972,186668.0011038397,,,0.2624660282231422,0.226078070495738,6.755888095598646,48574.365160615554,277826.2993864605,189864.0,5.6,237.001,99946.0,141539.0,821.0,5786.0,14185.0,15103.0,19691.0,26728.0,2747.0,8097.0,12333.0,24.97,0.137,321740.0,0.12
us,0.0,2015-06-30,1281.8273343478115,187610.10746534463,,,0.2625983723362983,0.2291763224226658,6.770213882150686,48737.397126240496,274752.3563778875,197000.0,5.3,237.657,100088.0,141695.0,817.0,5784.5,14188.0,15108.0,19742.0,26762.0,2748.0,8115.0,12334.0,24.97,0.143,321954.0,0.13
us,0.0,2015-07-31,1287.6909190893318,188582.2631208425,,,0.2628482909294944,0.2308458122009299,6.785369654757002,48923.90815674122,273831.7863228702,200667.0,5.2,238.034,100312.0,141989.0,806.0,5784.4,14221.0,15168.0,19775.0,26802.0,2752.0,8134.0,12349.0,25.0,0.142,322186.0,0.13
us,0.0,2015-08-31,1291.0547810415987,189599.59034462983,,,0.2631757770198772,0.2287073995029307,6.80162829634966,49128.72863834634,278435.84754643345,200500.0,5.1,238.033,100441.0,142130.0,794.0,5785.3,14223.0,15201.0,19808.0,26821.0,2751.0,8145.0,12345.0,25.09,0.142,322427.0,0.14
us,0.0,2015-09-30,1292.3099295341874,190724.69954520895,,,0.2635443725750725,0.229020928024098,6.820956727148499,49346.27207645567,279684.7368574261,195512.0,5.0,237.498,100584.0,142265.0,779.0,5775.7,14198.0,15279.0,19828.0,26809.0,2764.0,8152.0,12354.0,25.11,0.141,322670.0,0.14
us,0.0,2015-10-31,1292.2587443740963,191899.1210342362,,,0.263876874391674,0.2279080429514782,6.84203937566368,49558.5668472886,283127.6897709668,191512.0,5.0,237.733,100848.0,142584.0,771.0,5777.2,14213.0,15316.0,19902.0,26852.0,2766.0,8167.0,12362.0,25.19,0.136,322901.0,0.12
